Topic ID,Title,Fancy Title,Slug,Posts Count,Requested Amount,Status,Reply Count,Highest Post Number,Created At,Last Posted At,Views,Like Count,Tags,Last Poster Username,Category ID,posters,Original Poster ID
17342,[Socket] [FINAL] [STIP - Round 1],[Socket] [FINAL] [STIP - Round 1],socket-final-stip-round-1,27,"10,00,000",Passed,7,27,27-09-2023 14:39,06-11-2023 11:03,3583,29,[],sriram,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13036, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4461, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8179, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",13036
16929,[RADIANT] [FINAL] [STIP - Round 1],[RADIANT] [FINAL] [STIP - Round 1],radiant-final-stip-round-1,48,"28,52,044",Passed,17,48,25-09-2023 05:10,06-11-2023 18:14,7003,149,[],RadiantDAO,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12630, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11825, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12897, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12196, 'primary_group_id': None, 'flair_group_id': None}]",12630
16763,[Good Entry][FINAL][STIP - Round 1],[Good Entry][FINAL][STIP - Round 1],good-entry-final-stip-round-1,67,"2,00,000",Passed,25,69,22-09-2023 16:41,06-11-2023 09:37,4835,126,[],masterbean,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12422, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12757, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12431, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12798, 'primary_group_id': None, 'flair_group_id': None}]",12422
17200,[Camelot] [FINAL] [STIP - Round 1],[Camelot] [FINAL] [STIP - Round 1],camelot-final-stip-round-1,66,"30,90,000",Passed,27,76,26-09-2023 21:45,06-11-2023 04:52,5983,272,[],Camelot,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7373, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12856, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11437, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13007, 'primary_group_id': None, 'flair_group_id': None}]",7373
17504,[Premia] [FINAL] [STIP - Round 1],[Premia] [FINAL] [STIP - Round 1],premia-final-stip-round-1,24,"9,00,000",Passed,5,27,28-09-2023 01:19,31-10-2023 23:26,3103,51,[],dk3,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7486, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8179, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",7486
17564,[OpenOcean] [FINAL] [STIP - Round 1],[OpenOcean] [FINAL] [STIP - Round 1],openocean-final-stip-round-1,11,"5,00,000",Passed,5,12,28-09-2023 03:47,28-10-2023 15:54,2521,1,[],sdsvfdv3eef,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13054, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12606, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13889, 'primary_group_id': None, 'flair_group_id': None}]",13054
17013,[Trader Joe] [FINAL] [STIP - Round 1],[Trader Joe] [FINAL] [STIP - Round 1],trader-joe-final-stip-round-1,40,"15,10,000",Passed,7,40,25-09-2023 20:08,25-10-2023 20:51,5214,95,[],traderjoe,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12739, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11825, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13748, 'primary_group_id': None, 'flair_group_id': None}]",12739
16981,[LODESTAR FINANCE] [FINAL] [STIP - Round 1],[LODESTAR FINANCE] [FINAL] [STIP - Round 1],lodestar-finance-final-stip-round-1,29,"7,50,000",Passed,3,29,25-09-2023 15:35,23-10-2023 14:27,3295,56,[],LodestarFinanceDAO,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11953, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12207, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12710, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",11953
17146,[Jones DAO] [FINAL] [STIP - Round 1],[Jones DAO] [FINAL] [STIP - Round 1],jones-dao-final-stip-round-1,46,"2,00,000",Passed,13,47,26-09-2023 15:35,19-10-2023 03:12,3438,253,[],sahijeevan,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12187, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11824, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11927, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12648, 'primary_group_id': None, 'flair_group_id': None}]",12187
17539,[Thetanuts Finance] [FINAL] [STIP - Round 1],[Thetanuts Finance] [FINAL] [STIP - Round 1],thetanuts-finance-final-stip-round-1,8,"2,00,000",Passed,0,8,28-09-2023 02:56,18-10-2023 17:42,2996,19,[],FHURIK,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13118, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13785, 'primary_group_id': None, 'flair_group_id': None}]",13118
